gen,FP,MP,DP,num,fitness
1,(20, 0, 0, 0),44980,0.44999999999999996
1,(20, 0, 0, 1),5020,0.35
2,(20, 0, 0, 0),45802,0.44999999999999996
2,(20, 0, 0, 1),4198,0.35
3,(20, 0, 0, 0),46578,0.44999999999999996
3,(20, 0, 0, 1),3422,0.35
4,(20, 0, 0, 0),47080,0.44999999999999996
4,(20, 0, 0, 1),2920,0.35
5,(20, 0, 0, 0),47486,0.44999999999999996
5,(20, 0, 0, 1),2514,0.35
6,(20, 0, 0, 1),2094,0.35
6,(20, 0, 0, 0),47906,0.44999999999999996
7,(20, 0, 0, 0),48172,0.44999999999999996
7,(20, 0, 0, 1),1828,0.35
8,(20, 0, 0, 0),48566,0.44999999999999996
8,(20, 0, 0, 1),1434,0.35
9,(20, 0, 0, 0),48832,0.44999999999999996
9,(20, 0, 0, 1),1168,0.35
10,(20, 0, 0, 0),49052,0.44999999999999996
10,(20, 0, 0, 1),948,0.35
11,(20, 0, 0, 0),49252,0.44999999999999996
11,(20, 0, 0, 1),748,0.35
12,(20, 0, 0, 0),49356,0.44999999999999996
12,(20, 0, 0, 1),644,0.35
13,(20, 0, 0, 0),49444,0.44999999999999996
13,(20, 0, 0, 1),556,0.35
14,(20, 0, 0, 0),49552,0.44999999999999996
14,(20, 0, 0, 1),448,0.35
