/Users/jbarrick/src/satellite-plasmid/repeats/satellite-left.fa /Users/jbarrick/src/satellite-plasmid/repeats/satellite-right.fa
NUCMER

[S1]	[E1]	[S2]	[E2]	[LEN 1]	[LEN 2]	[% IDY]	[TAGS]
7	13	539	545	7	7	100.00	Satellite-left	Satellite-right
13	19	2390	2396	7	7	100.00	Satellite-left	Satellite-right
15	21	129	135	7	7	100.00	Satellite-left	Satellite-right
19	25	1090	1096	7	7	100.00	Satellite-left	Satellite-right
19	25	1869	1875	7	7	100.00	Satellite-left	Satellite-right
19	25	1993	1999	7	7	100.00	Satellite-left	Satellite-right
19	25	2356	2362	7	7	100.00	Satellite-left	Satellite-right
19	25	2404	2410	7	7	100.00	Satellite-left	Satellite-right
19	25	2545	2551	7	7	100.00	Satellite-left	Satellite-right
19	25	4548	4554	7	7	100.00	Satellite-left	Satellite-right
20	26	1136	1142	7	7	100.00	Satellite-left	Satellite-right
23	29	4720	4726	7	7	100.00	Satellite-left	Satellite-right
33	39	3224	3230	7	7	100.00	Satellite-left	Satellite-right
37	45	4000	4008	9	9	100.00	Satellite-left	Satellite-right
38	44	4079	4085	7	7	100.00	Satellite-left	Satellite-right
39	45	1332	1338	7	7	100.00	Satellite-left	Satellite-right
39	45	2876	2882	7	7	100.00	Satellite-left	Satellite-right
39	45	3708	3714	7	7	100.00	Satellite-left	Satellite-right
40	46	1693	1699	7	7	100.00	Satellite-left	Satellite-right
47	54	4342	4349	8	8	100.00	Satellite-left	Satellite-right
49	55	4546	4552	7	7	100.00	Satellite-left	Satellite-right
50	56	2669	2675	7	7	100.00	Satellite-left	Satellite-right
50	56	3037	3043	7	7	100.00	Satellite-left	Satellite-right
51	58	819	826	8	8	100.00	Satellite-left	Satellite-right
52	58	1394	1400	7	7	100.00	Satellite-left	Satellite-right
52	58	2441	2447	7	7	100.00	Satellite-left	Satellite-right
52	58	2921	2927	7	7	100.00	Satellite-left	Satellite-right
64	70	1800	1806	7	7	100.00	Satellite-left	Satellite-right
71	78	3518	3525	8	8	100.00	Satellite-left	Satellite-right
74	80	2519	2525	7	7	100.00	Satellite-left	Satellite-right
80	86	1156	1162	7	7	100.00	Satellite-left	Satellite-right
87	94	445	452	8	8	100.00	Satellite-left	Satellite-right
108	114	1964	1970	7	7	100.00	Satellite-left	Satellite-right
114	122	1957	1965	9	9	100.00	Satellite-left	Satellite-right
116	122	773	779	7	7	100.00	Satellite-left	Satellite-right
121	128	2219	2226	8	8	100.00	Satellite-left	Satellite-right
121	127	2838	2844	7	7	100.00	Satellite-left	Satellite-right
121	128	3801	3808	8	8	100.00	Satellite-left	Satellite-right
121	127	3825	3831	7	7	100.00	Satellite-left	Satellite-right
122	128	3533	3539	7	7	100.00	Satellite-left	Satellite-right
131	138	1624	1631	8	8	100.00	Satellite-left	Satellite-right
131	138	2513	2520	8	8	100.00	Satellite-left	Satellite-right
131	137	2631	2637	7	7	100.00	Satellite-left	Satellite-right
131	138	2735	2742	8	8	100.00	Satellite-left	Satellite-right
132	138	4716	4722	7	7	100.00	Satellite-left	Satellite-right
133	139	1276	1282	7	7	100.00	Satellite-left	Satellite-right
134	140	394	400	7	7	100.00	Satellite-left	Satellite-right
134	141	1524	1531	8	8	100.00	Satellite-left	Satellite-right
134	141	2018	2025	8	8	100.00	Satellite-left	Satellite-right
134	140	2726	2732	7	7	100.00	Satellite-left	Satellite-right
135	141	142	148	7	7	100.00	Satellite-left	Satellite-right
